model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,_merge
GMC Sierra 15,6.2,8,Auto-L6,2WD,Gasoline,pickup,6.0,12.0,19.0,15.0,3,no,GMC Sierra 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,2WD,Gasoline,pickup,6.0,12.0,19.0,15.0,3,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gasoline,pickup,3.0,16.0,23.0,19.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,3.0,15.0,20.0,17.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,4WD,Gasoline,pickup,3.0,16.0,22.0,18.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,3.0,15.0,19.0,17.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3.0,18.0,24.0,20.0,4.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3.0,16.0,22.0,18.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3.0,16.0,21.0,18.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3.0,15.0,20.0,17.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,6.2,8.0,Auto-8,2WD,Gasoline,pickup,3.0,15.0,21.0,17.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,6.2,8.0,Auto-8,4WD,Gasoline,pickup,3.0,15.0,20.0,17.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,4.3,6.0,Auto-6,2WD,Ethanol,pickup,5.0,12.0,16.0,14.0,4.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,4.3,6.0,Auto-6,4WD,Ethanol,pickup,5.0,12.0,15.0,13.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Ethanol,pickup,3.0,12.0,17.0,14.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,4.3,6.0,Auto-6,2WD,Gas,pickup,5.0,18.0,24.0,20.0,4.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No,both
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3.0,14.0,23.0,17.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3.0,14.0,23.0,17.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3.0,14.0,23.0,17.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3.0,14.0,22.0,17.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,both
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,both
GMC Yukon 1500 Hybrid,6.0,8,Auto-AV,2WD,Gasoline,SUV,6.0,21.0,22.0,21.0,6,no,,,,,,,,,,,,,,left_only
GMC Yukon 1500 Hybrid,6.0,8,Auto-AV,4WD,Gasoline,SUV,6.0,20.0,20.0,20.0,6,no,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,9.5,21.0,31.0,24.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,9.5,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,9.5,19.0,29.0,22.0,6,yes,,,,,,,,,,,,,,left_only
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,9.5,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,7.0,21.0,31.0,24.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,large car,7.0,22.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6,yes,,,,,,,,,,,,,,left_only
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,,,,,,,,,,,,,,left_only
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
HONDA CR-V,2.4,4,Auto-L5,2WD,Gasoline,SUV,7.0,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
HONDA CR-V,2.4,4,Auto-L5,4WD,Gasoline,SUV,7.0,20.0,26.0,22.0,6,yes,,,,,,,,,,,,,,left_only
HONDA Civic,1.8,4,Auto-L5,2WD,CNG,small car,9.5,24.0,36.0,28.0,9,yes,,,,,,,,,,,,,,left_only
HONDA Civic,1.8,4,Auto-L5,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,8,yes,,,,,,,,,,,,,,left_only
HONDA Civic,1.8,4,Man-5,2WD,Gasoline,small car,7.0,26.0,34.0,29.0,8,yes,,,,,,,,,,,,,,left_only
HONDA Civic,2.0,4,Man-6,2WD,Gasoline,small car,6.0,21.0,29.0,24.0,7,yes,,,,,,,,,,,,,,left_only
HONDA Civic Hybrid,1.3,4,Auto-AV,2WD,Gasoline,small car,9.5,40.0,45.0,42.0,10,yes,,,,,,,,,,,,,,left_only
HONDA Element,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,18.0,23.0,20.0,6,no,,,,,,,,,,,,,,left_only
HONDA Element,2.4,4,Auto-L5,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,,,,,,,,,,,,,,left_only
HONDA Element,2.4,4,Man-5,4WD,Gasoline,SUV,6.0,18.0,23.0,20.0,6,no,,,,,,,,,,,,,,left_only
HONDA Element,2.4,4,Auto-L5,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,,,,,,,,,,,,,,left_only
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8.0,Yes,both
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7.0,Yes,both
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8.0,Yes,both
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8.0,Yes,both
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7.0,Yes,both
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8.0,Yes,both
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8.0,Yes,both
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7.0,Yes,both
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8.0,Yes,both
HONDA Odyssey,3.5,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
HONDA Odyssey,3.5,6,Auto-L5,2WD,Gasoline,minivan,7.0,17.0,25.0,20.0,6,no,,,,,,,,,,,,,,left_only
HONDA Pilot,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
HONDA Pilot,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,,,,,,,,,,,,,,left_only
HONDA Ridgeline,3.5,6,Auto-L5,4WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,HONDA Ridgeline,3.5,6.0,Auto-6,2WD,Gasoline,pickup,3.0,19.0,26.0,22.0,4.0,No,both
HONDA Ridgeline,3.5,6,Auto-L5,4WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,HONDA Ridgeline,3.5,6.0,Auto-6,4WD,Gasoline,pickup,3.0,18.0,25.0,21.0,4.0,No,both
HONDA S2000,2.2,4,Man-6,2WD,Gasoline,small car,6.0,18.0,25.0,21.0,6,no,,,,,,,,,,,,,,left_only
HUMMER H3,3.7,5,Man-5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
HUMMER H3,3.7,5,Auto-L4,4WD,Gasoline,SUV,6.0,14.0,18.0,15.0,3,no,,,,,,,,,,,,,,left_only
HYUNDAI Accent,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,8,yes,,,,,,,,,,,,,,left_only
HYUNDAI Accent,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,,,,,,,,,,,,,,left_only
HYUNDAI Azera,3.3,6,Auto-L5,2WD,Gasoline,large car,7.0,18.0,26.0,21.0,6,yes,,,,,,,,,,,,,,left_only
HYUNDAI Azera,3.8,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,26.0,20.0,6,yes,,,,,,,,,,,,,,left_only
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8.0,Yes,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,26.0,33.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.6,4.0,Man-6,2WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5.0,26.0,36.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8.0,Yes,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,26.0,33.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,1.6,4.0,Man-6,2WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5.0,No,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5.0,26.0,36.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8.0,Yes,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,3.0,26.0,33.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.6,4.0,Man-6,2WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5.0,26.0,36.0,29.0,6.0,No,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7.0,Yes,both
HYUNDAI Entourage,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
HYUNDAI Santa Fe,2.7,6,Man-5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Man-5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,18.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,18.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Man-5,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,2.7,6,Man-5,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Santa Fe,3.3,6,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,3.3,6,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6,yes,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Santa Fe,3.3,6,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,18.0,25.0,21.0,4.0,No,both
HYUNDAI Santa Fe,3.3,6,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5,no,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,18.0,24.0,20.0,4.0,No,both
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7,yes,HYUNDAI Sonata,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7.0,Yes,both
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7,yes,HYUNDAI Sonata,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,5.0,23.0,32.0,26.0,5.0,No,both
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7,yes,HYUNDAI Sonata,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,35.0,28.0,6.0,No,both
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7,yes,HYUNDAI Sonata,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5.0,25.0,35.0,28.0,6.0,No,both
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7.0,21.0,31.0,25.0,7,yes,HYUNDAI Sonata,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7.0,Yes,both
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7.0,21.0,31.0,25.0,7,yes,HYUNDAI Sonata,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,5.0,23.0,32.0,26.0,5.0,No,both
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7.0,21.0,31.0,25.0,7,yes,HYUNDAI Sonata,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,35.0,28.0,6.0,No,both
